Curing age (day),"Compressive strength, fcu,t (MPa)","Splitting tensile  strength, fst,t (MPa)"
28,35.9,1.82
7,25.5,1.64
28,35.9,2.15
7,25.4,1.72
28,35.9,2.19
7,24.7,2.01
28,35.5,2.17
7,27.3,1.6
7,30.1,1.7
7,31.7,2
28,33.3,2.1
28,36.3,2.4
28,38,2.6
28,61.3,4.25
28,62.7,4.34
28,60.8,4.01
28,60.6,4.29
28,62.4,4.17
28,39.8,2.71
28,34.3,2.92
28,17.9,1.22
28,18.6,1.8
28,20.6,1.94
28,18.2,1.8
28,23.7,1.83
28,32.5,2.88
28,35.8,2.73
28,30.2,2.4
28,39.6,2.74
28,30.7,2.47
28,36.5,2.14
7,37.2,2.45
7,29.6,2.69
7,38.4,2.4
7,41.1,2.78
7,42.5,3.07
7,16.4,1.13
7,17.9,1.36
7,16.3,1.08
7,19.7,1.47
7,21,1.38
7,7.9,0.62
7,9.5,0.71
7,10.5,0.8
7,12.4,0.99
7,13.1,1.11
28,46.4,2.88
28,48.1,3.01
28,50.5,3.23
28,50.1,2.9
28,51.6,3.15
28,23.8,1.82
28,24.4,1.9
28,27.7,1.62
28,25.7,1.86
28,26.7,1.58
28,14.1,0.98
28,13,1.18
28,14.2,1.23
28,17.2,1.33
28,17.3,1.39
7,20.4,1.61
7,19.9,1.57
7,19.2,1.53
7,18.4,1.5
7,18.4,1.5
28,29.7,3.04
28,29.7,3.02
28,28.5,2.91
28,27.4,2.84
28,27.1,2.75
90,40.9,3.43
90,40.2,3.37
90,39.4,3.26
90,38.3,3.19
90,37.5,3.15
28,21.8,2.41
28,39.7,3.68
7,8.1,0.56
7,9.7,0.68
7,9.9,0.72
7,10.7,0.8
7,15.2,1.2
7,16.7,1.21
7,19.2,1.38
7,19.6,1.31
28,12.6,0.95
28,14.7,1.12
28,16.4,1.39
28,16.6,1.41
28,23.5,1.73
28,26.7,1.78
28,28.3,1.88
28,31.1,2.08
90,21.1,1.51
90,24.2,1.65
90,26.8,1.76
90,26.1,2.11
90,36.7,2.45
90,37,2.44
90,40.4,2.65
90,41.1,2.9
7,18.6,1.43
7,12.9,1.03
7,13.3,0.98
7,9.6,0.71
7,15.5,0.79
7,11.9,0.72
7,9.3,0.61
7,11.6,0.9
