Compressive strength of cement fce (MPa),Tensile strength of cement fct (MPa),Curing age (day),Dmax of crushed stone (mm),Stone powder content in sand (%),Fineness modulus of sand,W/B,"Water to cement ratio, mw/mc",Water (kg/m3),Sand ratio (%),Slump (mm),"Compressive strength, fcu,t (MPa)","Splitting tensile  strength, fst,t (MPa)"
48.2,8.4,28,26.5,9,3.23,0.55,0.55,160,38,125,44.2,3.45
48.2,8.4,28,26.5,13,3.23,0.55,0.55,160,38,22,43.2,3.2
48.2,8.4,28,26.5,5,3.23,0.44,0.44,170,34,30,55,3.3
48.2,8.4,28,26.5,9,3.23,0.44,0.44,170,34,135,52.4,3.47
48.2,8.4,28,26.5,13,3.23,0.44,0.44,170,34,90,53.5,3.18
48.2,8.4,28,26.5,5,3.23,0.36,0.36,170,32,95,59.9,3.51
48.2,8.4,28,26.5,9,3.23,0.36,0.36,170,32,85,57.2,5.24
48.2,8.4,28,26.5,13,3.23,0.36,0.36,170,32,70,59.6,4.53
48.2,8.4,28,26.5,5,3.23,0.31,0.31,170,30,35,68.2,3.62
48.2,8.4,28,26.5,9,3.23,0.31,0.31,170,30,20,68.3,3.99
48.2,8.4,28,26.5,13,3.23,0.31,0.31,170,30,25,66,4.36
46.3,8.4,28,26.5,6.75,3.19,0.56,0.56,170,42,80.26760563,39.2,3.47
46.3,8.4,28,26.5,6.75,3.19,0.44,0.44,180,32,80.26760563,50.1,3.77
46.3,8.4,28,26.5,6.75,3.19,0.32,0.32,170,28,80.26760563,59.1,4.31
48.3,7.4,28,25,7.5,2.9,0.51,1.01,222,45,80.26760563,57,2.87
50.35049676,8.309271071,28,30,4.3,3,0.25,0.33,150,41,80.26760563,74.4,5.41
50.35049676,8.309271071,60,30,4.3,3,0.25,0.33,150,41,80.26760563,84.5,6.37
50.35049676,8.309271071,90,30,4.3,3,0.25,0.33,150,41,80.26760563,94.1,6.5
50.35049676,8.309271071,120,30,4.3,3,0.25,0.33,150,41,80.26760563,100.5,6.65
50.35049676,8.309271071,28,31.5,5.8,3.1,0.42,0.42,185,36,36,38.3,3.04
50.35049676,8.309271071,28,31.5,5.8,3.1,0.44,0.44,185,36,40,36.2,2.75
50.35049676,8.309271071,28,31.5,5.8,3.1,0.46,0.46,185,36,43,34.2,2.6
50.35049676,8.309271071,28,31.5,5.8,3.1,0.42,0.42,185,32,25,35.9,2.42
50.35049676,8.309271071,28,31.5,5.8,3.1,0.42,0.42,185,40,40,37.3,3.24
50.35049676,8.309271071,28,43.87039877,10.79956973,2.933439065,0.45,0.45,180,39,205,47.4,4.98
50.35049676,8.309271071,28,43.87039877,10.79956973,2.933439065,0.5,0.5,180,39,205,45.3,4.68
50.35049676,8.309271071,28,43.87039877,10.79956973,2.933439065,0.55,0.55,180,40,200,41.7,4.5
50.35049676,8.309271071,28,43.87039877,4.3,2.86,0.454859155,0.593051136,148.2546362,36.30361842,80.26760563,35.8,1.63
50.35049676,8.309271071,28,43.87039877,7.5,3.04,0.454859155,0.593051136,148.2546362,36.30361842,80.26760563,36.5,1.77
50.35049676,8.309271071,28,43.87039877,10.8,2.76,0.454859155,0.593051136,148.2546362,36.30361842,80.26760563,37.8,1.84
50.35049676,8.309271071,28,43.87039877,19.2,2.35,0.454859155,0.593051136,148.2546362,36.30361842,80.26760563,34.3,1.72
35.5,7.2,28,30,14.2,2.2,0.57,0.57,178,35,20,27.9,1.97
35.5,7.2,28,30,14.2,2.2,0.64,0.64,178,35,20,24.7,2.05
35.5,7.2,28,30,14.2,2.2,0.69,0.69,178,35,20,22.8,2.11
50.35049676,8.309271071,28,20,13,3.55,0.59,0.59,203,40,70,43.1,2.65
50.35049676,8.309271071,28,20,7.8,3.55,0.63,0.63,241,40,140,38.9,2.18
50.35049676,8.309271071,28,20,16.3,3.55,0.56,0.56,185,39,100,39,2.87
50.35049676,8.309271071,28,20,11.3,3.55,0.47,0.47,196,43,60,49,2.19
63.4,10.2,28,16,3,3.5,0.25,0.48,150,37,240,94.3,6.2
63.4,10.2,28,16,5,3.5,0.25,0.48,150,37,225,94.6,6.4
63.4,10.2,28,16,7,3.5,0.25,0.48,150,37,220,96.3,5.4
63.4,10.2,28,16,10,3.5,0.25,0.48,150,37,180,91,5.6
